model,params_backbone,params_emb,mflops_per_sample,train_time_sec,AUC,GAUC,LogLoss
dcn,85657,22580320,0.1684,1368.1125569343567,0.7171836993776246,0.6483024409883645,0.5865324240125512
rankmixer,5149089,22580320,0.605696,2376.0084340572357,0.716503230453119,0.6482551034053078,0.5881517274545578
wide_deep,84650,22580320,0.1684,1089.9287250041962,0.7166122914034413,0.6472361178207858,0.5866170396914402
din,98091,22580320,0.195152,9110.526376008987,0.71419935882384,0.6445166621888564,0.5880763805293578
deepfm_field,87610,22580320,0.173776,1114.2063269615173,0.7118543250770077,0.6434156856985422,0.5900910799997762
unimixer,4959425,22580320,0.64896,3272.5857441425323,0.7111855208242095,0.6419901330411314,0.5893312778577466
dcn_v2,183266,22580320,0.364496,14339.573852300644,0.7128900353080879,0.6415734406135486,0.5884252299727183
deepfm,113042,22580320,0.224848,1188.9506390094757,0.7016578778198455,0.6352224523661428,0.6013663632147236
